Sec,Ticks,msg_type,Channel,Notes,Velocities,Pedal,Tempo
35.6484375,0,"['note_off', 'note_on']",0,"[78, 79]","[61, 64]",,64.0
35.8828125,0,"['note_off', 'note_on']",3,"[79, 77]","[55, 64]",,64.0
36.10546875,0.22265625,['note_on'],1,[43],[64],,64.0
36.109375,0.00390625,['note_off'],0,[71],[85],,64.0
36.1171875,0,"['note_off', 'note_on']",0,"[77, 76]","[58, 64]",,64.0
36.3515625,0,"['note_off', 'note_on']",1,"[76, 74]","[44, 64]",,64.0
36.57421875,0,"['note_off', 'note_off', 'note_on']",0,"[55, 43, 45]","[79, 73, 64]",,64.0
36.5859375,0,"['note_off', 'note_on']",0,"[74, 72]","[66, 64]",,64.0
36.8203125,0,"['note_off', 'note_on']",1,"[72, 74]","[63, 64]",,64.0
37.04296875,0,"['note_on', 'note_off', 'note_on']",0,"[62, 45, 47]","[64, 44, 64]",,64.0
37.0546875,0,"['note_off', 'note_on']",0,"[74, 72]","[66, 64]",,64.0
37.2890625,0,"['note_off', 'note_on']",1,"[72, 71]","[63, 64]",,64.0
37.51171875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[62, 64, 47, 48]","[48, 64, 59, 64]",,64.0
37.5234375,0,"['note_off', 'note_on']",0,"[71, 69]","[76, 64]",,64.0
37.7578125,0,"['note_off', 'note_on']",1,"[69, 72]","[63, 64]",,64.0
37.98046875,0,"['note_off', 'note_on']",0,"[64, 66]","[43, 64]",,64.0
37.9921875,0,"['note_off', 'note_on']",3,"[72, 71]","[63, 64]",,64.0
38.21484375,0,"['note_off', 'note_on']",0,"[48, 50]","[53, 64]",,64.0
38.2265625,0,"['note_off', 'note_on']",3,"[71, 69]","[58, 64]",,64.0
38.33203125,0.10546875,['note_off'],3,[50],[64],,64.0
38.33984375,0.0078125,['note_on'],1,[48],[64],,64.0
38.44921875,0,"['note_off', 'note_on', 'note_on']",3,"[66, 67, 47]","[61, 64, 64]",,64.0
38.45703125,0.0078125,['note_off'],0,[48],[64],,64.0
38.4609375,0.00390625,['note_off'],3,[69],[76],,64.0
38.91796875,0,"['note_off', 'note_on']",1,"[47, 52]","[51, 64]",,64.0
39.11328125,0.1953125,['note_off'],1,[67],[59],,64.0
39.1640625,0.05078125,['note_on'],1,[69],[64],,64.0
39.28125,0.1171875,['note_off'],1,[69],[64],,64.0
39.2890625,0.0078125,['note_on'],3,[67],[64],,64.0
39.38671875,0,"['note_off', 'note_on']",1,"[52, 45]","[72, 64]",,64.0
39.3984375,0.01171875,['note_on'],1,[65],[64],,64.0
39.40625,0.0078125,['note_off'],0,[67],[64],,64.0
39.6328125,0.2265625,['note_on'],3,[72],[64],,64.0
39.85546875,0,"['note_off', 'note_on']",0,"[45, 50]","[53, 64]",,64.0
39.8671875,0,"['note_off', 'note_off', 'note_on']",0,"[72, 65, 71]","[72, 39, 64]",,64.0
40.1015625,0.234375,['note_on'],0,[69],[64],,64.0
40.3359375,0,"['note_off', 'note_on', 'note_off', 'note_on']",3,"[69, 68, 71, 64]","[68, 64, 66, 64]",,64.0
40.55859375,0,"['note_off', 'note_on']",3,"[50, 52]","[66, 64]",,64.0
40.79296875,0,"['note_off', 'note_on']",0,"[52, 50]","[54, 64]",,64.0
40.8046875,0,"['note_off', 'note_on', 'note_off', 'note_on']",3,"[68, 76, 64, 69]","[42, 64, 39, 64]",,64.0
41.02734375,0,"['note_off', 'note_on']",3,"[50, 48]","[63, 64]",,64.0
41.26171875,0,"['note_off', 'note_on']",0,"[48, 47]","[70, 64]",,64.0
41.2734375,0,"['note_off', 'note_on']",1,"[76, 74]","[46, 64]",,64.0
41.5078125,0,"['note_off', 'note_on']",3,"[69, 71]","[59, 64]",,64.0
41.71484375,0.20703125,['note_off'],1,[47],[62],,64.0
41.73046875,0,"['note_on', 'note_on']",0,"[52, 52]","[64, 64]",,64.0
41.7421875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[74, 72, 71, 69]","[63, 64, 51, 64]",,64.0
41.9765625,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[72, 71, 69, 68]","[61, 64, 52, 64]",,64.0
